keywords,bid,views,clicks,conversions,total costs
vintage notebook,17,2660,173.0,11.0,2941.0
engineering notebook,21,1318,151.0,9.0,3171.0
hardcover notebook,19,2110,221.0,30.0,4199.0
travelers notebook,19,2576,354.0,26.0,6726.0
notebook with pen holder,25,1697,163.0,22.0,4075.0
vintage notebook,17,4937,321.0,20.0,5457.0
college ruled notebook,23,4963,732.0,55.0,16836.0
travelers notebook,19,1846,253.0,19.0,4807.0
travelers notebook,19,2801,384.0,28.0,7296.0
spiral bound notebook,22,1782,309.0,18.0,6798.0
notebook with pen holder,25,3089,296.0,41.0,7400.0
large notebook,15,2116,203.0,15.0,3045.0
plain paper,12,4768,522.0,59.0,6264.0
personalized notebook,22,2750,444.0,56.0,9768.0
graph paper notebook,21,4578,474.0,57.0,9954.0
plain paper,12,3576,392.0,44.0,4704.0
kids notebook,14,4336,543.0,27.0,7602.0
personalized notebook,22,2649,428.0,54.0,9416.0
personalized notebook,22,1291,208.0,26.0,4576.0
notebook with pockets,22,1968,384.0,27.0,8448.0
recycled paper notebook,24,2487,326.0,25.0,7824.0
softcover notebook,19,4875,404.0,43.0,7676.0
hardcover notebook,19,4631,485.0,65.0,9215.0
hardcover notebook,19,2842,298.0,40.0,5662.0
college ruled notebook,23,1096,162.0,12.0,3726.0
personalized notebook,22,4958,800.0,101.0,17600.0
engineering notebook,21,2118,243.0,14.0,5103.0
large notebook,15,4397,421.0,30.0,6315.0
leather cover notebook,23,1073,67.0,7.0,1541.0
college ruled notebook,23,2359,348.0,26.0,8004.0
vintage notebook,17,2091,136.0,8.0,2312.0
dotted grid notebook,21,1757,128.0,18.0,2688.0
vintage notebook,17,2941,191.0,12.0,3247.0
art sketchbook,15,4148,404.0,29.0,6060.0
spiral bound notebook,22,1207,209.0,12.0,4598.0
waterproof notebook,20,4955,920.0,75.0,18400.0
art sketchbook,15,4837,471.0,33.0,7065.0
dotted grid notebook,21,2244,164.0,24.0,3444.0
plain paper,12,2285,250.0,28.0,3000.0
engineering notebook,21,1409,162.0,9.0,3402.0
hardcover notebook,19,3378,354.0,48.0,6726.0
vintage notebook,17,3391,220.0,14.0,3740.0
personalized notebook,22,4036,651.0,82.0,14322.0
notebook with pen holder,25,1770,170.0,23.0,4250.0
hardcover notebook,19,2843,298.0,40.0,5662.0
large notebook,15,1073,103.0,7.0,1545.0
waterproof notebook,20,2660,494.0,40.0,9880.0
notebook with pockets,22,4771,930.0,65.0,20460.0
spiral bound notebook,22,1253,217.0,13.0,4774.0
art sketchbook,15,4006,390.0,28.0,5850.0
notebook with pen holder,25,4904,471.0,65.0,11775.0
spiral bound notebook,22,1819,315.0,18.0,6930.0
plain paper,12,4818,528.0,60.0,6336.0
graph paper notebook,21,1985,205.0,25.0,4305.0
recycled paper notebook,24,4833,634.0,49.0,15216.0
spiral bound notebook,22,1331,231.0,13.0,5082.0
art sketchbook,15,2421,236.0,17.0,3540.0
personalized notebook,22,4416,713.0,90.0,15686.0
plain paper,12,4655,510.0,58.0,6120.0
recycled paper notebook,24,3794,498.0,39.0,11952.0
spiral bound notebook,22,1835,318.0,18.0,6996.0
waterproof notebook,20,2691,500.0,41.0,10000.0
softcover notebook,19,1454,121.0,13.0,2299.0
hardcover notebook,19,2929,307.0,41.0,5833.0
notebook with pen holder,25,2138,205.0,28.0,5125.0
waterproof notebook,20,1312,244.0,20.0,4880.0
notebook with pen holder,25,2017,194.0,27.0,4850.0
softcover notebook,19,1227,102.0,11.0,1938.0
academic planner notebook,26,3881,329.0,29.0,8554.0
art sketchbook,15,1857,181.0,13.0,2715.0
hardcover notebook,19,2268,238.0,32.0,4522.0
academic planner notebook,26,3865,328.0,29.0,8528.0
dotted grid notebook,21,4597,335.0,48.0,7035.0
hardcover notebook,19,2017,211.0,28.0,4009.0
academic planner notebook,26,3575,303.0,27.0,7878.0
kids notebook,14,1949,244.0,12.0,3416.0
vintage notebook,17,1426,93.0,6.0,1581.0
dotted grid notebook,21,3089,225.0,32.0,4725.0
kids notebook,14,1464,183.0,9.0,2562.0
personalized notebook,22,2645,427.0,54.0,9394.0
notebook with pen holder,25,1277,123.0,17.0,3075.0
travelers notebook,19,3883,533.0,39.0,10127.0
college ruled notebook,23,1018,150.0,11.0,3450.0
notebook with pockets,22,1065,208.0,15.0,4576.0
notebook with pen holder,25,1166,112.0,15.0,2800.0
large notebook,15,2608,250.0,18.0,3750.0
large notebook,15,4067,390.0,28.0,5850.0
kids notebook,14,1402,175.0,9.0,2450.0
leather cover notebook,23,4983,310.0,31.0,7130.0
recycled paper notebook,24,4893,642.0,50.0,15408.0
vintage notebook,17,1408,91.0,6.0,1547.0
dotted grid notebook,21,3159,230.0,33.0,4830.0
vintage notebook,17,4345,282.0,17.0,4794.0
dotted grid notebook,21,4478,327.0,47.0,6867.0
notebook with pen holder,25,4444,426.0,58.0,10650.0
personalized notebook,22,1596,258.0,33.0,5676.0
plain paper,12,3698,405.0,46.0,4860.0
kids notebook,14,2062,258.0,13.0,3612.0
softcover notebook,19,3152,262.0,28.0,4978.0
leather cover notebook,23,1323,82.0,8.0,1886.0
large notebook,15,4864,466.0,33.0,6990.0
personalized notebook,22,2982,481.0,61.0,10582.0
notebook with pen holder,25,4039,388.0,53.0,9700.0
large notebook,15,2437,234.0,17.0,3510.0
kids notebook,14,1428,179.0,9.0,2506.0
large notebook,15,3682,353.0,25.0,5295.0
leather cover notebook,23,3777,235.0,23.0,5405.0
hardcover notebook,19,3936,413.0,56.0,7847.0
waterproof notebook,20,2084,387.0,31.0,7740.0
large notebook,15,2635,253.0,18.0,3795.0
kids notebook,14,4378,548.0,28.0,7672.0
leather cover notebook,23,2377,148.0,15.0,3404.0
waterproof notebook,20,1392,258.0,21.0,5160.0
vintage notebook,17,3251,211.0,13.0,3587.0
dotted grid notebook,21,3305,241.0,35.0,5061.0
hardcover notebook,19,3533,370.0,50.0,7030.0
hardcover notebook,19,2540,266.0,36.0,5054.0
recycled paper notebook,24,1445,190.0,15.0,4560.0
academic planner notebook,26,4780,405.0,36.0,10530.0
college ruled notebook,23,2203,325.0,24.0,7475.0
vintage notebook,17,2023,131.0,8.0,2227.0
notebook with pockets,22,1341,261.0,18.0,5742.0
engineering notebook,21,1132,130.0,8.0,2730.0
spiral bound notebook,22,3490,605.0,35.0,13310.0
leather cover notebook,23,2859,178.0,18.0,4094.0
vintage notebook,17,3300,214.0,13.0,3638.0
academic planner notebook,26,1264,107.0,10.0,2782.0
hardcover notebook,19,1092,114.0,15.0,2166.0
travelers notebook,19,2685,369.0,27.0,7011.0
spiral bound notebook,22,2434,422.0,24.0,9284.0
academic planner notebook,26,3185,270.0,24.0,7020.0
vintage notebook,17,2231,145.0,9.0,2465.0
college ruled notebook,23,2001,295.0,22.0,6785.0
plain paper,12,2660,291.0,33.0,3492.0
recycled paper notebook,24,4817,632.0,49.0,15168.0
academic planner notebook,26,2596,220.0,20.0,5720.0
graph paper notebook,21,3354,347.0,42.0,7287.0
personalized notebook,22,1265,204.0,26.0,4488.0
personalized notebook,22,1645,265.0,33.0,5830.0
engineering notebook,21,3365,386.0,23.0,8106.0
travelers notebook,19,2136,293.0,22.0,5567.0
vintage notebook,17,3948,256.0,16.0,4352.0
kids notebook,14,2401,300.0,15.0,4200.0
kids notebook,14,1453,182.0,9.0,2548.0
engineering notebook,21,3238,371.0,22.0,7791.0
academic planner notebook,26,2914,247.0,22.0,6422.0
dotted grid notebook,21,2463,180.0,26.0,3780.0
large notebook,15,2210,212.0,15.0,3180.0
vintage notebook,17,1830,119.0,7.0,2023.0
graph paper notebook,21,2390,247.0,30.0,5187.0
notebook with pen holder,25,2112,203.0,28.0,5075.0
dotted grid notebook,21,3234,236.0,34.0,4956.0
leather cover notebook,23,3866,240.0,24.0,5520.0
kids notebook,14,2969,372.0,19.0,5208.0
college ruled notebook,23,4068,600.0,45.0,13800.0
recycled paper notebook,24,3179,417.0,32.0,10008.0
personalized notebook,22,1871,302.0,38.0,6644.0
hardcover notebook,19,1634,171.0,23.0,3249.0
dotted grid notebook,21,4631,338.0,49.0,7098.0
engineering notebook,21,4871,559.0,33.0,11739.0
notebook with pockets,22,2399,468.0,33.0,10296.0
notebook with pockets,22,1690,329.0,23.0,7238.0
engineering notebook,21,3739,429.0,25.0,9009.0
